{u'Name': u'NAD to DZD', u'Bid': u'7.4358', u'Ask': u'7.5755', u'Rate': u'7.5053', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'NADDZD'}
{u'Name': u'BWP to DKK', u'Bid': u'0.6496', u'Ask': u'0.6508', u'Rate': u'0.6502', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'BWPDKK'}
{u'Name': u'LBP to DZD', u'Bid': u'0.0555', u'Ask': u'0.0561', u'Rate': u'0.0558', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'LBPDZD'}
{u'Name': u'LBP to NAD', u'Bid': u'0.0074', u'Ask': u'0.0075', u'Rate': u'0.0074', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LBPNAD'}
{u'Name': u'LBP to GHS', u'Bid': u'0.0021', u'Ask': u'0.0021', u'Rate': u'0.0021', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LBPGHS'}
{u'Name': u'LBP to EGP', u'Bid': u'0.0047', u'Ask': u'0.0047', u'Rate': u'0.0047', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'LBPEGP'}
{u'Name': u'LBP to BGN', u'Bid': u'0.001', u'Ask': u'0.001', u'Rate': u'0.001', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LBPBGN'}
{u'Name': u'LBP to PAB', u'Bid': u'0.0007', u'Ask': u'0.0007', u'Rate': u'0.0007', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LBPPAB'}
{u'Name': u'LBP to BOB', u'Bid': u'0.0045', u'Ask': u'0.0046', u'Rate': u'0.0046', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LBPBOB'}
{u'Name': u'LBP to DKK', u'Bid': u'0.004', u'Ask': u'0.004', u'Rate': u'0.004', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'LBPDKK'}
{u'Name': u'LBP to BWP', u'Bid': u'0.0061', u'Ask': u'0.0061', u'Rate': u'0.0061', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LBPBWP'}
{u'Name': u'TZS to DZD', u'Bid': u'0.0491', u'Ask': u'0.0498', u'Rate': u'0.0495', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'TZSDZD'}
{u'Name': u'TZS to NAD', u'Bid': u'0.0065', u'Ask': u'0.0066', u'Rate': u'0.0066', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'TZSNAD'}
{u'Name': u'TZS to GHS', u'Bid': u'0.0019', u'Ask': u'0.0019', u'Rate': u'0.0019', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'TZSGHS'}
{u'Name': u'TZS to EGP', u'Bid': u'0.0042', u'Ask': u'0.0042', u'Rate': u'0.0042', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'TZSEGP'}
{u'Name': u'TZS to BGN', u'Bid': u'0.0009', u'Ask': u'0.0009', u'Rate': u'0.0009', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'TZSBGN'}
{u'Name': u'TZS to PAB', u'Bid': u'0.0006', u'Ask': u'0.0006', u'Rate': u'0.0006', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'TZSPAB'}
{u'Name': u'TZS to BOB', u'Bid': u'0.004', u'Ask': u'0.0041', u'Rate': u'0.004', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'TZSBOB'}
{u'Name': u'TZS to DKK', u'Bid': u'0.0035', u'Ask': u'0.0035', u'Rate': u'0.0035', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'TZSDKK'}
{u'Name': u'TZS to BWP', u'Bid': u'0.0054', u'Ask': u'0.0054', u'Rate': u'0.0054', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'TZSBWP'}
{u'Name': u'TZS to LBP', u'Bid': u'0.8834', u'Ask': u'0.8898', u'Rate': u'0.8866', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'TZSLBP'}
{u'Name': u'VND to DZD', u'Bid': u'0.0039', u'Ask': u'0.004', u'Rate': u'0.004', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'VNDDZD'}
{u'Name': u'VND to NAD', u'Bid': u'0.0005', u'Ask': u'0.0005', u'Rate': u'0.0005', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'VNDNAD'}
{u'Name': u'VND to GHS', u'Bid': u'0.0002', u'Ask': u'0.0002', u'Rate': u'0.0002', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'VNDGHS'}
{u'Name': u'VND to EGP', u'Bid': u'0.0003', u'Ask': u'0.0003', u'Rate': u'0.0003', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'VNDEGP'}
{u'Name': u'VND to BGN', u'Bid': u'0.0001', u'Ask': u'0.0001', u'Rate': u'0.0001', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'VNDBGN'}
{u'Name': u'VND to PAB', u'Bid': u'0.00', u'Ask': u'0.00', u'Rate': u'0.00', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'VNDPAB'}
{u'Name': u'VND to BOB', u'Bid': u'0.0003', u'Ask': u'0.0003', u'Rate': u'0.0003', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'VNDBOB'}
{u'Name': u'VND to DKK', u'Bid': u'0.0003', u'Ask': u'0.0003', u'Rate': u'0.0003', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'VNDDKK'}
{u'Name': u'VND to BWP', u'Bid': u'0.0004', u'Ask': u'0.0004', u'Rate': u'0.0004', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'VNDBWP'}
{u'Name': u'VND to LBP', u'Bid': u'0.0709', u'Ask': u'0.0714', u'Rate': u'0.0711', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'VNDLBP'}
{u'Name': u'VND to TZS', u'Bid': u'0.0798', u'Ask': u'0.0807', u'Rate': u'0.0802', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'VNDTZS'}
{u'Name': u'AOA to DZD', u'Bid': u'0.8398', u'Ask': u'0.8522', u'Rate': u'0.846', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'AOADZD'}
{u'Name': u'AOA to NAD', u'Bid': u'0.1119', u'Ask': u'0.1135', u'Rate': u'0.1127', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'AOANAD'}
{u'Name': u'AOA to GHS', u'Bid': u'0.032', u'Ask': u'0.0322', u'Rate': u'0.0321', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'AOAGHS'}
{u'Name': u'AOA to EGP', u'Bid': u'0.0713', u'Ask': u'0.0721', u'Rate': u'0.0717', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'AOAEGP'}
{u'Name': u'AOA to BGN', u'Bid': u'0.0156', u'Ask': u'0.0158', u'Rate': u'0.0157', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'AOABGN'}
{u'Name': u'AOA to PAB', u'Bid': u'0.01', u'Ask': u'0.01', u'Rate': u'0.01', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'AOAPAB'}
{u'Name': u'AOA to BOB', u'Bid': u'0.0686', u'Ask': u'0.0699', u'Rate': u'0.0693', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'AOABOB'}
{u'Name': u'AOA to DKK', u'Bid': u'0.0601', u'Ask': u'0.0604', u'Rate': u'0.0602', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'AOADKK'}
{u'Name': u'AOA to BWP', u'Bid': u'0.0924', u'Ask': u'0.0929', u'Rate': u'0.0926', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'AOABWP'}
{u'Name': u'AOA to LBP', u'Bid': u'15.12', u'Ask': u'15.2146', u'Rate': u'15.1672', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'AOALBP'}
{u'Name': u'AOA to TZS', u'Bid': u'17.015', u'Ask': u'17.1993', u'Rate': u'17.1069', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'AOATZS'}
{u'Name': u'AOA to VND', u'Bid': u'212.15', u'Ask': u'214.1996', u'Rate': u'213.1723', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'AOAVND'}
{u'Name': u'KHR to DZD', u'Bid': u'0.0206', u'Ask': u'0.0209', u'Rate': u'0.0207', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'KHRDZD'}
{u'Name': u'KHR to NAD', u'Bid': u'0.0027', u'Ask': u'0.0028', u'Rate': u'0.0028', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KHRNAD'}
{u'Name': u'KHR to GHS', u'Bid': u'0.0008', u'Ask': u'0.0008', u'Rate': u'0.0008', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KHRGHS'}
{u'Name': u'KHR to EGP', u'Bid': u'0.0018', u'Ask': u'0.0018', u'Rate': u'0.0018', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'KHREGP'}
{u'Name': u'KHR to BGN', u'Bid': u'0.0004', u'Ask': u'0.0004', u'Rate': u'0.0004', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KHRBGN'}
{u'Name': u'KHR to PAB', u'Bid': u'0.0002', u'Ask': u'0.0002', u'Rate': u'0.0002', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KHRPAB'}
{u'Name': u'KHR to BOB', u'Bid': u'0.0017', u'Ask': u'0.0017', u'Rate': u'0.0017', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KHRBOB'}
{u'Name': u'KHR to DKK', u'Bid': u'0.0015', u'Ask': u'0.0015', u'Rate': u'0.0015', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'KHRDKK'}
{u'Name': u'KHR to BWP', u'Bid': u'0.0023', u'Ask': u'0.0023', u'Rate': u'0.0023', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KHRBWP'}
{u'Name': u'KHR to LBP', u'Bid': u'0.3711', u'Ask': u'0.3725', u'Rate': u'0.3718', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KHRLBP'}
{u'Name': u'KHR to TZS', u'Bid': u'0.4176', u'Ask': u'0.4211', u'Rate': u'0.4194', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KHRTZS'}
{u'Name': u'KHR to VND', u'Bid': u'5.2074', u'Ask': u'5.2448', u'Rate': u'5.2261', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KHRVND'}
{u'Name': u'KHR to AOA', u'Bid': u'0.0244', u'Ask': u'0.0246', u'Rate': u'0.0245', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KHRAOA'}
{u'Name': u'MYR to DZD', u'Bid': u'25.0784', u'Ask': u'25.3361', u'Rate': u'25.2072', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRDZD'}
{u'Name': u'MYR to NAD', u'Bid': u'3.3428', u'Ask': u'3.3744', u'Rate': u'3.3586', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRNAD'}
{u'Name': u'MYR to GHS', u'Bid': u'0.9548', u'Ask': u'0.9583', u'Rate': u'0.9566', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRGHS'}
{u'Name': u'MYR to EGP', u'Bid': u'2.1294', u'Ask': u'2.1426', u'Rate': u'2.136', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYREGP'}
{u'Name': u'MYR to BGN', u'Bid': u'0.4666', u'Ask': u'0.4698', u'Rate': u'0.4682', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRBGN'}
{u'Name': u'MYR to PAB', u'Bid': u'0.2986', u'Ask': u'0.2988', u'Rate': u'0.2987', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRPAB'}
{u'Name': u'MYR to BOB', u'Bid': u'2.0486', u'Ask': u'2.0795', u'Rate': u'2.064', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRBOB'}
{u'Name': u'MYR to DKK', u'Bid': u'1.7938', u'Ask': u'1.7962', u'Rate': u'1.795', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRDKK'}
{u'Name': u'MYR to BWP', u'Bid': u'2.7584', u'Ask': u'2.7628', u'Rate': u'2.7606', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRBWP'}
{u'Name': u'MYR to LBP', u'Bid': u'451.5185', u'Ask': u'452.3454', u'Rate': u'451.9318', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRLBP'}
{u'Name': u'MYR to TZS', u'Bid': u'508.1076', u'Ask': u'511.3535', u'Rate': u'509.7301', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRTZS'}
{u'Name': u'MYR to VND', u'Bid': u'6335.2944', u'Ask': u'6368.3901', u'Rate': u'6351.8374', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRVND'}
{u'Name': u'MYR to AOA', u'Bid': u'29.716', u'Ask': u'29.8775', u'Rate': u'29.7967', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRAOA'}
{u'Name': u'MYR to KHR', u'Bid': u'1213.6053', u'Ask': u'1217.2096', u'Rate': u'1215.4069', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'MYRKHR'}
{u'Name': u'KYD to DZD', u'Bid': u'102.4146', u'Ask': u'103.4146', u'Rate': u'102.9146', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'KYDDZD'}
{u'Name': u'KYD to NAD', u'Bid': u'13.6512', u'Ask': u'13.7732', u'Rate': u'13.7122', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KYDNAD'}
{u'Name': u'KYD to GHS', u'Bid': u'3.8994', u'Ask': u'3.9116', u'Rate': u'3.9055', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KYDGHS'}
{u'Name': u'KYD to EGP', u'Bid': u'8.696', u'Ask': u'8.7454', u'Rate': u'8.7207', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'KYDEGP'}
{u'Name': u'KYD to BGN', u'Bid': u'1.9055', u'Ask': u'1.9177', u'Rate': u'1.9116', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KYDBGN'}
{u'Name': u'KYD to PAB', u'Bid': u'1.2195', u'Ask': u'1.2195', u'Rate': u'1.2195', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KYDPAB'}
{u'Name': u'KYD to BOB', u'Bid': u'8.3659', u'Ask': u'8.4878', u'Rate': u'8.4268', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KYDBOB'}
{u'Name': u'KYD to DKK', u'Bid': u'7.3254', u'Ask': u'7.3315', u'Rate': u'7.3284', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'KYDDKK'}
{u'Name': u'KYD to BWP', u'Bid': u'11.2648', u'Ask': u'11.277', u'Rate': u'11.2709', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KYDBWP'}
{u'Name': u'KYD to LBP', u'Bid': u'1843.9025', u'Ask': u'1846.3416', u'Rate': u'1845.1219', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KYDLBP'}
{u'Name': u'KYD to TZS', u'Bid': u'2075.00', u'Ask': u'2087.1951', u'Rate': u'2081.0977', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KYDTZS'}
{u'Name': u'KYD to VND', u'Bid': u'25871.9512', u'Ask': u'25993.9023', u'Rate': u'25932.9277', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KYDVND'}
{u'Name': u'KYD to AOA', u'Bid': u'121.3537', u'Ask': u'121.9512', u'Rate': u'121.6524', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KYDAOA'}
{u'Name': u'KYD to KHR', u'Bid': u'4956.0977', u'Ask': u'4968.293', u'Rate': u'4962.1953', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'KYDKHR'}
{u'Name': u'KYD to MYR', u'Bid': u'4.0817', u'Ask': u'4.0838', u'Rate': u'4.0827', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'KYDMYR'}
{u'Name': u'LYD to DZD', u'Bid': u'69.2904', u'Ask': u'70.5491', u'Rate': u'69.9171', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'LYDDZD'}
{u'Name': u'LYD to NAD', u'Bid': u'9.236', u'Ask': u'9.396', u'Rate': u'9.3157', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDNAD'}
{u'Name': u'LYD to GHS', u'Bid': u'2.6382', u'Ask': u'2.6685', u'Rate': u'2.6533', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDGHS'}
{u'Name': u'LYD to EGP', u'Bid': u'5.8834', u'Ask': u'5.9661', u'Rate': u'5.9246', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'LYDEGP'}
{u'Name': u'LYD to BGN', u'Bid': u'1.2892', u'Ask': u'1.3082', u'Rate': u'1.2987', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDBGN'}
{u'Name': u'LYD to PAB', u'Bid': u'0.8251', u'Ask': u'0.8319', u'Rate': u'0.8285', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDPAB'}
{u'Name': u'LYD to BOB', u'Bid': u'5.6601', u'Ask': u'5.7903', u'Rate': u'5.7249', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDBOB'}
{u'Name': u'LYD to DKK', u'Bid': u'4.9561', u'Ask': u'5.0015', u'Rate': u'4.9787', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'LYDDKK'}
{u'Name': u'LYD to BWP', u'Bid': u'7.6214', u'Ask': u'7.6931', u'Rate': u'7.6571', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDBWP'}
{u'Name': u'LYD to LBP', u'Bid': u'1247.5247', u'Ask': u'1259.5674', u'Rate': u'1253.5211', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDLBP'}
{u'Name': u'LYD to TZS', u'Bid': u'1403.8778', u'Ask': u'1423.8768', u'Rate': u'1413.8359', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDTZS'}
{u'Name': u'LYD to VND', u'Bid': u'17504.125', u'Ask': u'17732.9453', u'Rate': u'17618.0605', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDVND'}
{u'Name': u'LYD to AOA', u'Bid': u'82.104', u'Ask': u'83.1947', u'Rate': u'82.6471', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDAOA'}
{u'Name': u'LYD to KHR', u'Bid': u'3353.1353', u'Ask': u'3389.3511', u'Rate': u'3371.1682', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDKHR'}
{u'Name': u'LYD to MYR', u'Bid': u'2.7616', u'Ask': u'2.7859', u'Rate': u'2.7737', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'LYDMYR'}
{u'Name': u'LYD to KYD', u'Bid': u'0.6766', u'Ask': u'0.6822', u'Rate': u'0.6794', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'LYDKYD'}
{u'Name': u'UAH to DZD', u'Bid': u'6.0136', u'Ask': u'6.0767', u'Rate': u'6.0451', u'Time': u'8:46pm', u'Date': u'11/7/2014', u'id': u'UAHDZD'}
{u'Name': u'UAH to NAD', u'Bid': u'0.8016', u'Ask': u'0.8093', u'Rate': u'0.8054', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'UAHNAD'}
{u'Name': u'UAH to GHS', u'Bid': u'0.229', u'Ask': u'0.2298', u'Rate': u'0.2294', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'UAHGHS'}
{u'Name': u'UAH to EGP', u'Bid': u'0.5106', u'Ask': u'0.5139', u'Rate': u'0.5122', u'Time': u'8:45pm', u'Date': u'11/7/2014', u'id': u'UAHEGP'}
{u'Name': u'UAH to BGN', u'Bid': u'0.1119', u'Ask': u'0.1127', u'Rate': u'0.1123', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'UAHBGN'}
{u'Name': u'UAH to PAB', u'Bid': u'0.0716', u'Ask': u'0.0717', u'Rate': u'0.0716', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'UAHPAB'}
{u'Name': u'UAH to BOB', u'Bid': u'0.4912', u'Ask': u'0.4987', u'Rate': u'0.495', u'Time': u'8:43pm', u'Date': u'11/7/2014', u'id': u'UAHBOB'}
